Components,Melting Temperature,Delta elec,SMILES
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,272.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",281.1,4.0,FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.C(CCCC)[N+]1(CCCC1)C
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,285.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
1-butylpyridinium tetrafluoroborate,272.0,1.0,F[B-](F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,299.0,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,257.0,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,288.0,1.0,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,341.94,0.5,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,277.15,0.5,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,341.94,0.5,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,284.1,1.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium dicyanamide,267.1,1.0,[N-](C#N)C#N.C(CCC)N1C=[N+](C=C1)C
"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",298.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C(=[N+](C=C1)C)C
1-butyl-3-methylimidazolium trifluoromethanesulfonate,286.1,1.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,271.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",310.1,1.0,F[B-](F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,256.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
"1,1,3,3-tetramethylguanidinium lactate",223.1,1.0,C(C(O)C)(=O)[O-].CN(C(=[NH2+])N(C)C)C
"1,1,3,3-tetramethylguanidinium formate",340.15,0.5,C(=O)[O-].CN(C(=[NH2+])N(C)C)C
"1,1,3,3-tetramethylguanidinium trifluoromethanesulfonate",314.15,0.5,FC(S(=O)(=O)[O-])(F)F.CN(C(=[NH2+])N(C)C)C
"N,N,N',N'-tetramethylguanidine 2,2,2-trifluoroacetate",315.15,0.5,FC(C(=O)O)(F)F.CN(C(=N)N(C)C)C
tetrabutylammonium chloride,348.1,0.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,281.1,3.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,270.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,363.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1(CCCC1)C
